Year;Production;Receipts from Other Sources;Imports;LNG;Pipeline;Exports;LNG;   Pipeline;Stock Change;Gross Inland Deliveries (Calculated);Statistical Difference (Calculated);Gross Inland Deliveries (Observed);of which: Electricity and Heat Generation;ClosingStocks
2010-1;53;0;3641;904;2737;75;0;75;-366;3985;0;3985;0;1746
2010-2;50;0;3046;744;2302;69;0;69;-259;3286;0;3286;0;1487
2010-3;59;0;3278;902;2376;53;0;53;-157;3441;0;3441;0;1330
2010-4;54;0;2912;573;2339;42;0;42;-6;2930;0;2930;0;1324
2010-5;54;0;2502;583;1919;37;0;37;-47;2566;0;2566;0;1277
2010-6;57;0;2788;489;2299;32;0;32;334;2479;0;2479;0;1611
2010-7;58;0;2798;419;2379;69;0;69;-39;2826;0;2826;0;1572
2010-8;58;0;3142;667;2475;75;0;75;123;3002;0;3002;0;1695
2010-9;50;0;2526;509;2017;72;0;72;-239;2743;0;2743;0;1456
2010-10;63;0;3717;774;2943;35;0;35;359;3386;0;3386;0;1815
2010-11;54;0;3451;756;2695;46;0;46;388;3071;0;3071;0;2203
2010-12;64;0;4236;855;3381;44;0;44;-148;4404;0;4404;0;2055
2011-1;63;0;4381;825;3556;56;0;56;-414;4802;0;4802;0;1641
2011-2;57;0;3861;564;3297;62;0;62;-486;4342;0;4342;0;1155
2011-3;65;0;4101;657;3444;65;0;65;-204;4305;0;4305;0;951
2011-4;67;0;3639;588;3051;64;0;64;91;3551;0;3551;0;1042
2011-5;66;0;3069;325;2744;61;0;61;410;2664;0;2664;0;1452
2011-6;57;0;2888;398;2490;50;0;50;397;2498;0;2498;0;1849
2011-7;63;0;3000;241;2759;57;0;57;-63;3069;0;3069;0;1786
2011-8;63;0;3215;495;2720;52;0;52;138;3088;0;3088;0;1924
2011-9;60;0;3006;407;2599;57;0;57;-63;3072;0;3072;0;1861
2011-10;67;0;3637;414;3223;55;0;55;-35;3684;0;3684;0;1826
2011-11;64;0;4356;748;3608;63;0;63;-209;4566;0;4566;0;1617
2011-12;69;0;4752;812;3940;71;0;71;-322;5072;0;5072;0;1295
2012-1;69;0;4784;782;4002;41;0;41;-432;5244;0;5244;0;863
2012-2;60;0;4202;644;3558;14;0;14;-543;4791;0;4791;0;320
2012-3;54;0;4646;876;3770;55;0;55;16;4629;0;4629;0;336
2012-4;50;0;3248;396;2852;50;0;50;361;2887;11;2876;0;697
2012-5;49;0;3198;589;2609;60;0;60;476;2711;0;2711;0;1173
2012-6;45;0;3203;397;2806;51;0;51;378;2819;0;2819;0;1551
2012-7;46;0;3698;506;3192;60;0;60;229;3455;0;3455;0;1780
2012-8;56;0;3365;630;2735;48;0;48;221;3152;0;3152;0;2001
2012-9;47;0;3747;694;3053;53;0;53;380;3361;4;3357;0;2381
2012-10;68;0;3214;743;2471;64;0;64;56;3162;0;3162;0;2437
2012-11;44;0;4025;881;3144;38;0;38;76;3955;0;3955;0;2513
2012-12;44;0;4592;726;3866;66;0;66;-533;5103;0;5103;0;1980
2013-1;47;0;4537;647;3890;46;0;46;-540;5078;0;5078;0;1440
2013-2;43;0;4096;813;3283;45;0;45;-83;4177;0;4177;0;1357
2013-3;48;0;3889;590;3299;34;0;34;-236;4139;0;4139;0;1121
2013-4;44;0;3449;489;2960;60;0;60;92;3341;0;3341;0;1213
2013-5;42;0;3513;703;2810;38;0;38;466;3051;0;3051;0;1679
2013-6;42;0;3143;325;2818;38;0;38;134;3013;0;3013;0;1813
2013-7;45;0;3406;233;3173;62;0;62;179;3210;0;3210;0;1992
2013-8;41;0;3268;310;2958;60;0;60;220;3029;0;3029;0;2212
2013-9;43;0;3527;314;3213;68;0;68;266;3236;0;3236;0;2478
2013-10;46;0;3545;397;3148;73;0;73;-1;3519;0;3519;0;2477
2013-11;48;0;3935;316;3619;72;0;72;-391;4302;0;4302;0;2086
2013-12;48;0;4962;945;4017;58;0;58;-593;5545;0;5545;0;1493
2014-1;48;0;4792;961;3831;69;0;69;-356;5127;0;5127;0;1137
2014-2;41;0;4219;731;3488;62;0;62;-366;4564;0;4564;0;771
2014-3;43;0;4536;617;3919;58;0;58;-11;4532;0;4532;31;760
2014-4;41;0;4067;819;3248;38;0;38;437;3633;0;3633;75;1197
2014-5;40;0;3883;478;3405;26;0;26;430;3467;0;3467;0;1627
2014-6;37;0;3434;454;2980;52;0;52;153;3266;0;3266;0;1780
2014-7;36;0;3690;331;3359;70;0;70;110;3546;0;3546;0;1890
2014-8;37;0;3738;324;3414;75;0;75;231;3469;0;3469;0;2121
2014-9;38;0;3894;495;3399;71;0;71;275;3586;0;3586;0;2396
2014-10;36;0;3228;317;2911;23;0;23;66;3175;0;3175;0;2462
2014-11;39;0;4558;1052;3506;34;0;34;-368;4931;0;4931;0;2094
2014-12;40;0;5004;1002;4002;55;0;55;-322;5311;0;5311;0;1772
2015-01;35;0;4998;922;4076;31;0;31;-448;5450;0;5450;0;1324
2015-02;31;0;4633;950;3683;47;0;47;-501;5118;0;5118;869;823
2015-03;33;0;4278;707;3571;68;0;68;-224;4467;0;4467;1635;599
2015-04;34;0;3573;637;2936;52;0;52;-242;3797;0;3797;1413;357
2015-05;34;0;3333;480;2853;53;0;53;288;3026;0;3026;1433;645
2015-06;33;0;3201;387;2814;21;0;21;282;2931;0;2931;1459;927
2015-07;30;0;3325;577;2748;72;0;72;380;2903;0;2903;1879;1307
2015-08;32;0;3742;236;3506;73;0;73;290;3411;0;3411;2202;1597
2015-09;28;0;3685;559;3126;61;0;61;467;3185;0;3185;1890;2064
2015-10;31;0;3746;223;3523;45;0;45;313;3419;0;3419;1791;2377
2015-11;29;0;4572;916;3656;34;0;34;284;4283;0;4283;1703;2661
2015-12;31;0;5341;1055;4286;67;0;67;-534;5839;0;5839;1779;2127
2016-01;36;0;5393;1160;4233;51;0;51;-418;5796;0;5796;1282;1709
2016-02;32;0;3964;911;3053;15;0;15;-435;4416;0;4416;1238;1274
2016-03;34;0;3813;855;2958;66;0;66;-389;4170;0;4170;1145;885
2016-04;32;0;3553;467;3086;71;0;71;307;3207;0;3207;1207;1192
2016-05;31;0;3215;325;2890;72;0;72;294;2880;0;2880;1090;1486
2016-06;30;0;3173;430;2743;71;0;71;302;2830;0;2830;1292;1788
2016-07;28;0;3220;479;2741;36;0;36;337;2875;0;2875;1446;2125
2016-08;29;0;3627;477;3150;61;0;61;109;3486;0;3486;1503;2234
2016-09;25;0;3007;462;2545;59;0;59;540;2433;0;2433;1209;2774
2016-10;28;0;3456;232;3224;58;0;58;47;3379;0;3379;1380;2821
2016-11;30;0;4355;531;3824;39;0;39;-535;4881;0;4881;1192;2286
2016-12;32;0;5576;1297;4279;75;0;75;-585;6118;0;6118;1037;1701
2017-01;33;0;5915;1705;4210;86;0;86;-513;6375;0;6375;1321;1188
2017-02;29;0;5253;1497;3756;34;0;34;-264;5512;0;5512;1426;924
2017-03;32;0;5029;1043;3986;0;0;0;58;5003;0;5003;1452;982
2017-04;31;0;4251;429;3822;62;0;62;44;4176;0;4176;1311;1026
